/Users/omrimaoz/pythonProject/University/ML_Workshop/venv/bin/python /Users/omrimaoz/pythonProject/University/ML_Workshop/Main.py
device: cpu
/Users/omrimaoz/pythonProject/University/ML_Workshop/Models.py:150: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv1.weight, gain=nn.init.calculate_gain('relu'))
/Users/omrimaoz/pythonProject/University/ML_Workshop/venv/lib/python3.7/site-packages/torch/nn/modules/loss.py:530: UserWarning: Using a target size (torch.Size([50])) that is different to the input size (torch.Size([50, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
/Users/omrimaoz/pythonProject/University/ML_Workshop/venv/lib/python3.7/site-packages/torch/nn/modules/loss.py:530: UserWarning: Using a target size (torch.Size([40])) that is different to the input size (torch.Size([40, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
epoch: 0, train_loss: 218.953, val_loss: 9.056, val_acc: 0.104, MAE: 2.527, MSE: 9.057, time: 12s, lr: 0.001
epoch: 55, train_loss: 6.182, val_loss: 6.96, val_acc: 0.104, MAE: 2.286, MSE: 6.961, time: 10s, lr: 0.001
epoch: 56, train_loss: 6.182, val_loss: 6.952, val_acc: 0.104, MAE: 2.284, MSE: 6.953, time: 10s, lr: 0.001
epoch: 57, train_loss: 6.182, val_loss: 6.944, val_acc: 0.105, MAE: 2.283, MSE: 6.945, time: 10s, lr: 0.001
epoch: 58, train_loss: 6.179, val_loss: 6.938, val_acc: 0.105, MAE: 2.282, MSE: 6.938, time: 9s, lr: 0.001
epoch: 59, train_loss: 6.179, val_loss: 6.93, val_acc: 0.105, MAE: 2.281, MSE: 6.93, time: 9s, lr: 0.001
epoch: 60, train_loss: 6.178, val_loss: 6.923, val_acc: 0.105, MAE: 2.28, MSE: 6.923, time: 10s, lr: 0.001
epoch: 61, train_loss: 6.175, val_loss: 6.916, val_acc: 0.105, MAE: 2.279, MSE: 6.916, time: 10s, lr: 0.001
epoch: 62, train_loss: 6.174, val_loss: 6.909, val_acc: 0.105, MAE: 2.278, MSE: 6.91, time: 11s, lr: 0.001
epoch: 63, train_loss: 6.173, val_loss: 6.902, val_acc: 0.105, MAE: 2.277, MSE: 6.903, time: 9s, lr: 0.001
epoch: 64, train_loss: 6.173, val_loss: 6.896, val_acc: 0.105, MAE: 2.276, MSE: 6.897, time: 9s, lr: 0.001
epoch: 65, train_loss: 6.172, val_loss: 6.89, val_acc: 0.105, MAE: 2.275, MSE: 6.891, time: 10s, lr: 0.001
epoch: 66, train_loss: 6.172, val_loss: 6.884, val_acc: 0.105, MAE: 2.274, MSE: 6.884, time: 11s, lr: 0.001
epoch: 67, train_loss: 6.172, val_loss: 6.877, val_acc: 0.105, MAE: 2.273, MSE: 6.878, time: 9s, lr: 0.001
epoch: 68, train_loss: 6.169, val_loss: 6.871, val_acc: 0.105, MAE: 2.272, MSE: 6.872, time: 10s, lr: 0.001
epoch: 69, train_loss: 6.168, val_loss: 6.866, val_acc: 0.106, MAE: 2.271, MSE: 6.866, time: 9s, lr: 0.001
epoch: 70, train_loss: 6.169, val_loss: 6.86, val_acc: 0.106, MAE: 2.27, MSE: 6.86, time: 9s, lr: 0.001
epoch: 71, train_loss: 6.168, val_loss: 6.854, val_acc: 0.106, MAE: 2.269, MSE: 6.855, time: 11s, lr: 0.001
epoch: 72, train_loss: 6.166, val_loss: 6.849, val_acc: 0.105, MAE: 2.268, MSE: 6.849, time: 9s, lr: 0.001
epoch: 73, train_loss: 6.167, val_loss: 6.843, val_acc: 0.106, MAE: 2.267, MSE: 6.844, time: 9s, lr: 0.001
epoch: 74, train_loss: 6.164, val_loss: 6.838, val_acc: 0.106, MAE: 2.267, MSE: 6.839, time: 9s, lr: 0.001
epoch: 75, train_loss: 6.165, val_loss: 6.833, val_acc: 0.106, MAE: 2.266, MSE: 6.834, time: 11s, lr: 0.001
epoch: 76, train_loss: 6.162, val_loss: 6.828, val_acc: 0.106, MAE: 2.265, MSE: 6.828, time: 9s, lr: 0.001
epoch: 77, train_loss: 6.164, val_loss: 6.822, val_acc: 0.106, MAE: 2.264, MSE: 6.823, time: 10s, lr: 0.001
epoch: 78, train_loss: 6.162, val_loss: 6.817, val_acc: 0.106, MAE: 2.264, MSE: 6.818, time: 9s, lr: 0.001
epoch: 79, train_loss: 6.162, val_loss: 6.812, val_acc: 0.106, MAE: 2.263, MSE: 6.813, time: 9s, lr: 0.001
epoch: 80, train_loss: 6.161, val_loss: 6.808, val_acc: 0.106, MAE: 2.262, MSE: 6.808, time: 9s, lr: 0.001
epoch: 81, train_loss: 6.161, val_loss: 6.803, val_acc: 0.106, MAE: 2.261, MSE: 6.803, time: 9s, lr: 0.001
epoch: 82, train_loss: 6.159, val_loss: 6.798, val_acc: 0.106, MAE: 2.26, MSE: 6.798, time: 9s, lr: 0.001
epoch: 83, train_loss: 6.16, val_loss: 6.793, val_acc: 0.106, MAE: 2.26, MSE: 6.794, time: 10s, lr: 0.001
epoch: 84, train_loss: 6.158, val_loss: 6.789, val_acc: 0.106, MAE: 2.259, MSE: 6.789, time: 11s, lr: 0.001
epoch: 85, train_loss: 6.158, val_loss: 6.784, val_acc: 0.106, MAE: 2.258, MSE: 6.785, time: 9s, lr: 0.001
epoch: 86, train_loss: 6.157, val_loss: 6.78, val_acc: 0.106, MAE: 2.257, MSE: 6.78, time: 10s, lr: 0.001
epoch: 87, train_loss: 6.158, val_loss: 6.775, val_acc: 0.106, MAE: 2.257, MSE: 6.776, time: 10s, lr: 0.001
epoch: 88, train_loss: 6.157, val_loss: 6.771, val_acc: 0.106, MAE: 2.256, MSE: 6.771, time: 9s, lr: 0.001
epoch: 89, train_loss: 6.157, val_loss: 6.767, val_acc: 0.106, MAE: 2.255, MSE: 6.767, time: 11s, lr: 0.001
epoch: 90, train_loss: 6.156, val_loss: 6.762, val_acc: 0.106, MAE: 2.255, MSE: 6.763, time: 9s, lr: 0.001
epoch: 91, train_loss: 6.155, val_loss: 6.758, val_acc: 0.106, MAE: 2.254, MSE: 6.759, time: 9s, lr: 0.001
epoch: 92, train_loss: 6.155, val_loss: 6.754, val_acc: 0.106, MAE: 2.253, MSE: 6.755, time: 10s, lr: 0.001
epoch: 93, train_loss: 6.155, val_loss: 6.75, val_acc: 0.106, MAE: 2.253, MSE: 6.75, time: 9s, lr: 0.001
epoch: 94, train_loss: 6.154, val_loss: 6.746, val_acc: 0.106, MAE: 2.252, MSE: 6.747, time: 9s, lr: 0.001
epoch: 95, train_loss: 6.153, val_loss: 6.742, val_acc: 0.106, MAE: 2.252, MSE: 6.743, time: 10s, lr: 0.001
epoch: 96, train_loss: 6.153, val_loss: 6.738, val_acc: 0.106, MAE: 2.251, MSE: 6.739, time: 11s, lr: 0.001
epoch: 97, train_loss: 6.152, val_loss: 6.734, val_acc: 0.106, MAE: 2.25, MSE: 6.735, time: 9s, lr: 0.001
epoch: 98, train_loss: 6.152, val_loss: 6.73, val_acc: 0.106, MAE: 2.25, MSE: 6.731, time: 11s, lr: 0.001
epoch: 99, train_loss: 6.153, val_loss: 6.726, val_acc: 0.106, MAE: 2.249, MSE: 6.727, time: 9s, lr: 0.001
epoch: 100, train_loss: 6.151, val_loss: 6.722, val_acc: 0.106, MAE: 2.248, MSE: 6.723, time: 9s, lr: 0.001
epoch: 101, train_loss: 6.151, val_loss: 6.719, val_acc: 0.106, MAE: 2.248, MSE: 6.72, time: 10s, lr: 0.001
epoch: 102, train_loss: 6.149, val_loss: 6.715, val_acc: 0.106, MAE: 2.247, MSE: 6.716, time: 9s, lr: 0.001
epoch: 103, train_loss: 6.151, val_loss: 6.712, val_acc: 0.106, MAE: 2.246, MSE: 6.712, time: 9s, lr: 0.001
epoch: 104, train_loss: 6.149, val_loss: 6.708, val_acc: 0.106, MAE: 2.246, MSE: 6.709, time: 10s, lr: 0.001
epoch: 105, train_loss: 6.148, val_loss: 6.704, val_acc: 0.106, MAE: 2.245, MSE: 6.705, time: 9s, lr: 0.001
epoch: 106, train_loss: 6.15, val_loss: 6.701, val_acc: 0.106, MAE: 2.245, MSE: 6.702, time: 9s, lr: 0.001
epoch: 107, train_loss: 6.149, val_loss: 6.697, val_acc: 0.106, MAE: 2.244, MSE: 6.698, time: 10s, lr: 0.001
epoch: 108, train_loss: 6.15, val_loss: 6.694, val_acc: 0.107, MAE: 2.244, MSE: 6.694, time: 9s, lr: 0.001
epoch: 109, train_loss: 6.147, val_loss: 6.69, val_acc: 0.106, MAE: 2.243, MSE: 6.691, time: 9s, lr: 0.001
epoch: 110, train_loss: 6.147, val_loss: 6.687, val_acc: 0.107, MAE: 2.243, MSE: 6.688, time: 10s, lr: 0.001
epoch: 111, train_loss: 6.148, val_loss: 6.684, val_acc: 0.107, MAE: 2.242, MSE: 6.684, time: 9s, lr: 0.001
epoch: 112, train_loss: 6.146, val_loss: 6.681, val_acc: 0.107, MAE: 2.242, MSE: 6.681, time: 9s, lr: 0.001
epoch: 113, train_loss: 6.147, val_loss: 6.677, val_acc: 0.106, MAE: 2.241, MSE: 6.678, time: 11s, lr: 0.001
epoch: 114, train_loss: 6.145, val_loss: 6.674, val_acc: 0.106, MAE: 2.24, MSE: 6.674, time: 10s, lr: 0.001
epoch: 115, train_loss: 6.145, val_loss: 6.671, val_acc: 0.107, MAE: 2.24, MSE: 6.671, time: 9s, lr: 0.001
epoch: 116, train_loss: 6.146, val_loss: 6.668, val_acc: 0.107, MAE: 2.239, MSE: 6.668, time: 10s, lr: 0.001
epoch: 117, train_loss: 6.143, val_loss: 6.665, val_acc: 0.107, MAE: 2.239, MSE: 6.665, time: 11s, lr: 0.001
epoch: 118, train_loss: 6.145, val_loss: 6.661, val_acc: 0.107, MAE: 2.238, MSE: 6.662, time: 10s, lr: 0.001
epoch: 119, train_loss: 6.144, val_loss: 6.658, val_acc: 0.107, MAE: 2.238, MSE: 6.659, time: 10s, lr: 0.001
epoch: 120, train_loss: 6.144, val_loss: 6.655, val_acc: 0.106, MAE: 2.237, MSE: 6.656, time: 9s, lr: 0.001
epoch: 121, train_loss: 6.144, val_loss: 6.652, val_acc: 0.107, MAE: 2.237, MSE: 6.653, time: 9s, lr: 0.001
epoch: 122, train_loss: 6.144, val_loss: 6.649, val_acc: 0.107, MAE: 2.237, MSE: 6.65, time: 9s, lr: 0.001
epoch: 123, train_loss: 6.142, val_loss: 6.646, val_acc: 0.107, MAE: 2.236, MSE: 6.647, time: 9s, lr: 0.001
epoch: 124, train_loss: 6.142, val_loss: 6.644, val_acc: 0.107, MAE: 2.236, MSE: 6.644, time: 9s, lr: 0.001
epoch: 125, train_loss: 6.143, val_loss: 6.641, val_acc: 0.107, MAE: 2.235, MSE: 6.641, time: 11s, lr: 0.001
epoch: 126, train_loss: 6.143, val_loss: 6.638, val_acc: 0.106, MAE: 2.234, MSE: 6.638, time: 9s, lr: 0.001
epoch: 127, train_loss: 6.143, val_loss: 6.635, val_acc: 0.106, MAE: 2.234, MSE: 6.635, time: 9s, lr: 0.001
epoch: 128, train_loss: 6.141, val_loss: 6.632, val_acc: 0.106, MAE: 2.234, MSE: 6.633, time: 11s, lr: 0.001
epoch: 129, train_loss: 6.141, val_loss: 6.629, val_acc: 0.106, MAE: 2.233, MSE: 6.63, time: 9s, lr: 0.001
epoch: 130, train_loss: 6.142, val_loss: 6.626, val_acc: 0.107, MAE: 2.233, MSE: 6.627, time: 11s, lr: 0.001
epoch: 131, train_loss: 6.141, val_loss: 6.624, val_acc: 0.107, MAE: 2.232, MSE: 6.624, time: 9s, lr: 0.001
epoch: 132, train_loss: 6.142, val_loss: 6.621, val_acc: 0.107, MAE: 2.232, MSE: 6.622, time: 9s, lr: 0.001
epoch: 133, train_loss: 6.141, val_loss: 6.618, val_acc: 0.107, MAE: 2.231, MSE: 6.619, time: 10s, lr: 0.001
epoch: 134, train_loss: 6.142, val_loss: 6.616, val_acc: 0.107, MAE: 2.231, MSE: 6.616, time: 9s, lr: 0.001
epoch: 135, train_loss: 6.14, val_loss: 6.613, val_acc: 0.107, MAE: 2.231, MSE: 6.614, time: 9s, lr: 0.001
epoch: 136, train_loss: 6.14, val_loss: 6.61, val_acc: 0.107, MAE: 2.23, MSE: 6.611, time: 10s, lr: 0.001
epoch: 137, train_loss: 6.141, val_loss: 6.608, val_acc: 0.107, MAE: 2.23, MSE: 6.608, time: 9s, lr: 0.001
epoch: 138, train_loss: 6.14, val_loss: 6.605, val_acc: 0.107, MAE: 2.229, MSE: 6.606, time: 9s, lr: 0.001
epoch: 139, train_loss: 6.139, val_loss: 6.603, val_acc: 0.107, MAE: 2.229, MSE: 6.603, time: 9s, lr: 0.001
epoch: 140, train_loss: 6.139, val_loss: 6.6, val_acc: 0.107, MAE: 2.228, MSE: 6.601, time: 9s, lr: 0.001
epoch: 141, train_loss: 6.14, val_loss: 6.598, val_acc: 0.107, MAE: 2.228, MSE: 6.598, time: 9s, lr: 0.001
epoch: 142, train_loss: 6.138, val_loss: 6.595, val_acc: 0.107, MAE: 2.227, MSE: 6.596, time: 11s, lr: 0.001
epoch: 143, train_loss: 6.139, val_loss: 6.593, val_acc: 0.107, MAE: 2.227, MSE: 6.593, time: 9s, lr: 0.001
epoch: 144, train_loss: 6.137, val_loss: 6.59, val_acc: 0.107, MAE: 2.227, MSE: 6.591, time: 9s, lr: 0.001
epoch: 145, train_loss: 6.138, val_loss: 6.588, val_acc: 0.107, MAE: 2.226, MSE: 6.588, time: 10s, lr: 0.001
epoch: 146, train_loss: 6.138, val_loss: 6.586, val_acc: 0.107, MAE: 2.226, MSE: 6.586, time: 10s, lr: 0.001
epoch: 147, train_loss: 6.137, val_loss: 6.583, val_acc: 0.108, MAE: 2.225, MSE: 6.583, time: 9s, lr: 0.001
epoch: 148, train_loss: 6.137, val_loss: 6.581, val_acc: 0.108, MAE: 2.225, MSE: 6.581, time: 10s, lr: 0.001
epoch: 149, train_loss: 6.138, val_loss: 6.578, val_acc: 0.108, MAE: 2.224, MSE: 6.579, time: 9s, lr: 0.001
epoch: 150, train_loss: 6.137, val_loss: 6.576, val_acc: 0.107, MAE: 2.224, MSE: 6.577, time: 9s, lr: 0.001
epoch: 151, train_loss: 6.137, val_loss: 6.573, val_acc: 0.107, MAE: 2.224, MSE: 6.574, time: 9s, lr: 0.001
epoch: 152, train_loss: 6.136, val_loss: 6.571, val_acc: 0.108, MAE: 2.224, MSE: 6.572, time: 11s, lr: 0.001
epoch: 153, train_loss: 6.136, val_loss: 6.569, val_acc: 0.107, MAE: 2.223, MSE: 6.569, time: 9s, lr: 0.001
epoch: 154, train_loss: 6.137, val_loss: 6.567, val_acc: 0.108, MAE: 2.223, MSE: 6.567, time: 10s, lr: 0.001
epoch: 155, train_loss: 6.136, val_loss: 6.564, val_acc: 0.108, MAE: 2.222, MSE: 6.565, time: 10s, lr: 0.001
epoch: 156, train_loss: 6.136, val_loss: 6.562, val_acc: 0.108, MAE: 2.222, MSE: 6.563, time: 9s, lr: 0.001
epoch: 157, train_loss: 6.136, val_loss: 6.56, val_acc: 0.107, MAE: 2.222, MSE: 6.56, time: 11s, lr: 0.001
epoch: 158, train_loss: 6.136, val_loss: 6.558, val_acc: 0.108, MAE: 2.221, MSE: 6.558, time: 9s, lr: 0.001
epoch: 159, train_loss: 6.136, val_loss: 6.556, val_acc: 0.108, MAE: 2.221, MSE: 6.556, time: 9s, lr: 0.001
epoch: 160, train_loss: 6.135, val_loss: 6.553, val_acc: 0.108, MAE: 2.22, MSE: 6.554, time: 10s, lr: 0.001
epoch: 161, train_loss: 6.135, val_loss: 6.551, val_acc: 0.108, MAE: 2.22, MSE: 6.552, time: 9s, lr: 0.001
epoch: 162, train_loss: 6.135, val_loss: 6.549, val_acc: 0.108, MAE: 2.22, MSE: 6.55, time: 9s, lr: 0.001
epoch: 163, train_loss: 6.135, val_loss: 6.547, val_acc: 0.108, MAE: 2.22, MSE: 6.548, time: 12s, lr: 0.001
epoch: 164, train_loss: 6.135, val_loss: 6.545, val_acc: 0.108, MAE: 2.219, MSE: 6.545, time: 10s, lr: 0.001
epoch: 165, train_loss: 6.135, val_loss: 6.543, val_acc: 0.108, MAE: 2.219, MSE: 6.543, time: 10s, lr: 0.001
epoch: 166, train_loss: 6.134, val_loss: 6.541, val_acc: 0.108, MAE: 2.218, MSE: 6.541, time: 10s, lr: 0.001
epoch: 167, train_loss: 6.134, val_loss: 6.538, val_acc: 0.109, MAE: 2.218, MSE: 6.539, time: 9s, lr: 0.001
epoch: 168, train_loss: 6.134, val_loss: 6.537, val_acc: 0.108, MAE: 2.218, MSE: 6.537, time: 9s, lr: 0.001
epoch: 169, train_loss: 6.134, val_loss: 6.534, val_acc: 0.108, MAE: 2.217, MSE: 6.535, time: 10s, lr: 0.001
epoch: 170, train_loss: 6.134, val_loss: 6.532, val_acc: 0.108, MAE: 2.217, MSE: 6.533, time: 9s, lr: 0.001
epoch: 171, train_loss: 6.133, val_loss: 6.53, val_acc: 0.108, MAE: 2.216, MSE: 6.531, time: 9s, lr: 0.001
epoch: 172, train_loss: 6.133, val_loss: 6.529, val_acc: 0.108, MAE: 2.216, MSE: 6.529, time: 10s, lr: 0.001
epoch: 173, train_loss: 6.133, val_loss: 6.526, val_acc: 0.108, MAE: 2.216, MSE: 6.527, time: 10s, lr: 0.001
